normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,3.8313763812688506e-16,1.5613996867854433e-16,1.4462490584377593e-16,6.500912837846949e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.1,3,3,2,conjugate_k,196,4.127672627231599,8.205936209855814e-05,0.00010586950701333369,4.515080651257016e-06,0.0002748466053212375,1.4071950894605838,1.4072528356963563,3.7319609256228603e-16,1.4853518368385956e-16,1.911544940137371e-16,6.540512176269314e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.000512283097449064,0.0006606842351906068,2.8218585172078138e-05,0.001715316176908559,1.3719886811400712,1.3723404645371673,3.2673342523057414e-16,1.4195825295675728e-16,1.020656247714611e-16,5.249793960240488e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0020407860990094336,0.0026285435830526215,0.00011286478603455181,0.006826137754088165,1.2649110640673522,1.2662070520713233,3.8008650505711508e-16,1.3025365736968383e-16,1.901571018719295e-16,5.402629758658166e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.004560874268069352,0.005861728817527756,0.0002539099467131202,0.015228867016580914,1.1313708498984765,1.133974559877864,4.1262149045161785e-16,1.452680061178351e-16,1.7734002370316467e-16,7.182588498632599e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.008032799481904305,0.010292858417256738,0.00045130633435983794,0.026756617936743117,1.0,1.0040817154169273,3.470569955442194e-16,1.3106247281000868e-16,1.3108842508197043e-16,5.178214724371991e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,4.271009059257672e-16,1.9456648991280283e-16,1.634361064462922e-16,8.736137265083025e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.1,3,3,2,conjugate_k,196,4.127672627231599,8.205936209849246e-05,0.000105869507013292,4.515080651227039e-06,0.00027484660532103763,1.4142135623730956,1.4142715966218056,3.9364412939976714e-16,1.8557575114731745e-16,9.028247999820399e-17,6.644778679371163e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.00051228309744911,0.0006606842351906427,2.8218585172098948e-05,0.0017153161769085927,1.4142135623730954,1.4145761723989867,3.9351869453649814e-16,1.9001958154859774e-16,9.174692668903904e-17,6.416767337409267e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0020407860990094414,0.0026285435830526063,0.00011286478603466285,0.006826137754088174,1.4142135623730951,1.4156625210105471,3.942931303938633e-16,1.7411321751409105e-16,1.849072637487279e-16,7.423462858628208e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.004560874268069313,0.005861728817527765,0.0002539099467130091,0.015228867016580824,1.4142135623730954,1.41746819984733,4.591687010571853e-16,2.34914735483179e-16,1.7055337153197913e-16,8.851635802780788e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.008032799481904329,0.010292858417256738,0.00045130633435983794,0.026756617936743117,1.414213562373095,1.419985979673461,2.3632395776811527e-16,1.220460558006262e-16,9.412375539395809e-17,4.162244015611942e-16
