normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,taux_sigma0,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,3.8313763812688506e-16,1.5613996867854433e-16,1.4462490584377593e-16,6.500912837846949e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigma0,0.1,3,3,2,conjugate_k,196,4.127672627231599,9.757970182550998e-05,0.00016590848678209045,0.0,0.00046167428344341644,1.4102306079000364,1.410299327074744,3.2576376570263393e-16,1.219836752643634e-16,1.7174147391702366e-16,5.149941806480132e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigma0,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.0006084915638201154,0.0010470864870689672,0.0,0.002989638030082741,1.3799152303785949,1.3803335068379665,4.009299375918374e-16,1.5859773346218806e-16,9.16291332560804e-17,5.842214428037661e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigma0,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0024266936484309207,0.004272961369015631,0.0,0.012627461740245052,1.2811451954569615,1.2826856633375905,3.6497673692143266e-16,1.6619116053561945e-16,1.2544879674096412e-16,6.672017350155724e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigma0,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.0054440164982262704,0.009829015341802855,0.0,0.029795292053423135,1.1553145419640831,1.158412066783511,4.2014906782579433e-16,2.0960364955714863e-16,1.2697989834266523e-16,7.723011684170404e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigma0,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.009637960335394748,0.017847144358130028,0.0,0.055103565461661036,1.0307545384158203,1.0356188550933152,4.2627290060932035e-16,1.0428924936392549e-16,2.3563396393927906e-16,5.418851531362087e-16
fixed_delta0,tau0_sigma0,taux_sigma0,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,4.271009059257672e-16,1.9456648991280283e-16,1.634361064462922e-16,8.736137265083025e-16
fixed_delta0,tau0_sigma0,taux_sigma0,0.1,3,3,2,conjugate_k,196,4.127672627231599,9.757970182554986e-05,0.00016590848678205635,0.0,0.0004616742834433828,1.417264220649307,1.4173332825651663,3.2176071499524395e-16,8.806988576719897e-17,2.2196883160804336e-16,4.55193199372413e-16
fixed_delta0,tau0_sigma0,taux_sigma0,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.0006084915638200517,0.0010470864870689117,0.0,0.0029896380300826393,1.4223840623123687,1.4228152118180433,3.9122904101130003e-16,9.535717335715899e-17,1.7773419727945837e-16,5.342455558370366e-16
fixed_delta0,tau0_sigma0,taux_sigma0,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0024266936484308855,0.004272961369015647,0.0,0.012627461740245094,1.4323638730445105,1.4340861684936312,3.7750445108141945e-16,1.4020194274018533e-16,1.270112062916352e-16,6.219875945655994e-16
fixed_delta0,tau0_sigma0,taux_sigma0,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.005444016498226262,0.009829015341802905,0.0,0.029795292053423256,1.4441431774551043,1.4480150834793886,3.8183807393565537e-16,1.5100523720946872e-16,1.4063085474965938e-16,5.9493077033143e-16
fixed_delta0,tau0_sigma0,taux_sigma0,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.009637960335394763,0.01784714435813007,0.0,0.055103565461661175,1.4577070477052727,1.4645862303222632,3.6323208975517776e-16,1.4415334370397246e-16,1.150889803686848e-16,5.720862668274339e-16
