normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,3.8313763812688506e-16,1.5613996867854433e-16,1.4462490584377593e-16,6.500912837846949e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,2,conjugate_k,196,4.127672627231599,8.5313727492606e-05,0.0001192880398399388,0.0,0.0003105273129883859,1.4057368467712432,1.4057961952533033,3.501201674856559e-16,1.8740390093130297e-16,1.7822931995900873e-16,7.633028258298689e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.000555196100462595,0.000798696987587263,0.0,0.001995188484786231,1.369449704222443,1.3698181392112883,3.749990727094804e-16,1.2556165939135105e-16,1.9401171671747378e-16,6.329828391708485e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.002420074659682041,0.003674053067686443,0.0,0.0098755851861912,1.2633821471732916,1.264792955787021,3.7266901061680835e-16,1.1041937828367405e-16,2.0588035587872596e-16,5.694595268108665e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.006060642648862324,0.00977156504176874,0.0,0.02798158316793829,1.1336252305593089,1.136597036391256,4.362157686905602e-16,1.8425594343940572e-16,1.0939746874480544e-16,7.001126625053778e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.012182009270332826,0.020918328900992655,0.0,0.06265032859754033,1.0078728999776179,1.0127949669478862,2.9749851095863154e-16,1.0339947940175445e-16,1.2563799071116205e-16,4.54600137518715e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,4.271009059257672e-16,1.9456648991280283e-16,1.634361064462922e-16,8.736137265083025e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,2,conjugate_k,196,4.127672627231599,8.531372749258759e-05,0.00011928803983998377,0.0,0.0003105273129883204,1.4127480466077666,1.4128076910940677,4.521228011931684e-16,1.3806150728250833e-16,2.501874628683639e-16,6.85322932694002e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.0005551961004625671,0.0007986969875872749,0.0,0.001995188484786294,1.411596444869999,1.4119762189637948,5.417774286215535e-16,2.440256226991966e-16,2.6840920244295456e-16,1.1131931814536575e-15
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0024200746596820216,0.0036740530676863934,0.0,0.009875585186191157,1.4125041813195616,1.4140815133013325,4.1021328188778163e-16,3.1513856841121815e-16,1.389353258038369e-16,1.1637980985413947e-15
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.006060642648862341,0.009771565041768729,0.0,0.027981583167938275,1.4170315381991359,1.42074629548907,3.255195633452216e-16,1.1900565431081606e-16,1.8000801267782776e-16,5.919273500676183e-16
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.012182009270332753,0.02091832890099265,0.0,0.0626503285975402,1.4253475242966493,1.4323083781609114,2.955929693829136e-16,1.059391200025343e-16,1.5260683884073814e-16,4.824797724562745e-16
