normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max,sewing_error_mean,sewing_error_min,sewing_error_max,sewing_min_singular_mean,sewing_min_singular_min,sewing_mean_singular_mean
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,2,conjugate_k,196,3.5167577131435492,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,3.827880677367633e-16,1.5618695293525897e-16,1.4462490584377593e-16,6.500912837846949e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,2,conjugate_k,196,3.5167577131435492,5.2210728537791337e-05,8.992004557783975e-05,0.0,0.000278678133573715,1.4071759307470086,1.4072122167116186,3.5782636363554334e-16,1.8751059753265576e-16,1.7822931995900873e-16,7.633028258298689e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,2,conjugate_k,196,3.5167577131435492,0.0003422701449135585,0.0006224090853464782,0.0,0.0019779137723605652,1.3729459109507465,1.3731717136183057,3.828665741785106e-16,1.2062730991182312e-16,1.9401171671747378e-16,6.329828391708485e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,2,conjugate_k,196,3.5167577131435492,0.0015295042010907527,0.003052061323883707,0.0,0.0098755851861912,1.2697918771268064,1.2706639108396807,3.487955357693591e-16,1.0386711707688427e-16,2.0588035587872596e-16,5.694595268108665e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,2,conjugate_k,196,3.5167577131435492,0.003975075922588613,0.008619514689912504,0.0,0.02798158316793829,1.1421722967507335,1.1440346491400686,4.0613032799580667e-16,1.7614966025575206e-16,1.0939746874480544e-16,7.001126625053778e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,2,conjugate_k,196,3.5167577131435492,0.008343098115625534,0.019339014062721517,0.0,0.06265032859754033,1.0178801993182676,1.0210205714995777,3.0342329220425063e-16,1.0067458570380276e-16,1.2563799071116205e-16,4.54600137518715e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,2,conjugate_k,196,3.5167577131435492,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,4.440060961893354e-16,1.9470921886436573e-16,1.634361064462922e-16,8.736137265083025e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,2,conjugate_k,196,3.5167577131435492,5.221072853777627e-05,8.992004557791532e-05,0.0,0.0002786781335738426,1.4141943081042456,1.4142307750473584,4.298890274986531e-16,1.4058346302839466e-16,2.501874628683639e-16,6.85322932694002e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,2,conjugate_k,196,3.5167577131435492,0.0003422701449135081,0.0006224090853464717,0.0,0.001977913772360565,1.4152002522774465,1.4154330043396697,5.153531325264591e-16,2.652358999730726e-16,2.052687042641072e-16,1.1131931814536575e-15,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,2,conjugate_k,196,3.5167577131435492,0.0015295042010907652,0.003052061323883682,0.0,0.009875585186191157,1.4196704772662996,1.420645440596629,4.2458246221283874e-16,3.052343694730622e-16,1.4761979071297582e-16,1.1637980985413947e-15,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,2,conjugate_k,196,3.5167577131435492,0.0039750759225886285,0.0086195146899125,0.0,0.027981583167938275,1.4277153709384167,1.4300433114250857,3.240559040227e-16,1.2067983717012073e-16,1.8000801267782776e-16,5.919273500676183e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,2,conjugate_k,196,3.5167577131435492,0.008343098115625459,0.019339014062721496,0.0,0.0626503285975402,1.4394999827469235,1.4439411396766317,2.9749879585659617e-16,1.0592783184797542e-16,1.5260683884073814e-16,4.824797724562745e-16,0.0,0.0,0.0,1.0,1.0,1.0
