normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,3.8313763812688506e-16,1.5613996867854433e-16,1.4462490584377593e-16,6.500912837846949e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.1,3,3,2,conjugate_k,196,4.127672627231599,5.285824466521768e-05,8.272629013652913e-05,0.0,0.00020708885097658517,1.4071950894605842,1.4072322854783794,3.623191726448484e-16,1.213939853208338e-16,1.2818852481611794e-16,5.050529579199909e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.00033004813424263024,0.0005164584929341884,0.0,0.0012928996568059143,1.3719886811400714,1.3722152857746752,3.3824631529268416e-16,1.4797450048552012e-16,1.6891369591437545e-16,5.895288562906852e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0013157018417221246,0.0020575777971928895,0.0,0.00515161705545465,1.2649110640673524,1.2657460283552373,3.119615369867388e-16,1.6355306725398274e-16,1.1365862478559706e-16,5.676531190603384e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.002943659658423889,0.004598908084382666,0.0,0.011516974571485634,1.131370849898477,1.1330488060894066,4.252311548543832e-16,2.401107930105416e-16,1.4656972719318777e-16,9.852007375917157e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.005192309108569999,0.008100739308853761,0.0,0.020292845317691207,1.0000000000000009,1.0026314641953027,4.1486346242338486e-16,1.515796068089086e-16,1.879202917677036e-16,6.970681432344046e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.0,3,3,2,conjugate_k,196,4.127672627231599,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,4.271009059257672e-16,1.9456648991280283e-16,1.634361064462922e-16,8.736137265083025e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.1,3,3,2,conjugate_k,196,4.127672627231599,5.285824466521557e-05,8.272629013652754e-05,0.0,0.0002070888509765817,1.4142135623730958,1.41425094390834,2.9531417507464813e-16,6.812254713877776e-17,1.348285117100015e-16,3.836499665849978e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.25,3,3,2,conjugate_k,196,4.127672627231599,0.00033004813424266245,0.0005164584929341851,0.0,0.0012928996568058787,1.4142135623730956,1.4144471410840274,4.3108913793780166e-16,1.0085673371057107e-16,2.576435044208407e-16,5.940414487462538e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.5,3,3,2,conjugate_k,196,4.127672627231599,0.0013157018417221027,0.002057577797192877,0.0,0.005151617055454541,1.4142135623730963,1.4151470808263436,4.194758267782072e-16,1.3495689378485241e-16,1.7522566267724855e-16,6.066453325891835e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.75,3,3,2,conjugate_k,196,4.127672627231599,0.0029436596584239087,0.004598908084382678,0.0,0.011516974571485592,1.414213562373096,1.4163110076117582,4.000517125119518e-16,2.075965120291687e-16,1.3216305239332355e-16,9.020370849303551e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,1.0,3,3,2,conjugate_k,196,4.127672627231599,0.005192309108570052,0.008100739308853742,0.0,0.020292845317691214,1.4142135623730963,1.4179350147269911,3.9708823365054844e-16,1.588281460346722e-16,1.8833565182037958e-16,7.084726604228174e-16
