normalization,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1842585515933986e-16,5.0918696152353223e-17,7.176730486484033e-17,2.2403468461391023e-16
fixed_frobenius_norm,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.7721862368358324,0.16438683577174684,0.464437213224716,0.9907642152038018,0.024684766323809313,0.05342944826309685,1.0665420593943187e-16,4.7217655808100116e-17,6.97509075216951e-17,1.963406317947203e-16
fixed_frobenius_norm,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.5287466082213607,0.16613296077152015,0.26837678656544095,0.8083853620290886,0.04688919292910948,0.06955127537258507,9.906477755223655e-17,4.9594316010775214e-17,5.013658464433312e-17,2.1390624700295074e-16
fixed_frobenius_norm,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.3741279393256849,0.2972932164007344,0.0333342747049591,0.9328914930266675,0.08054326312717291,0.10604911042524282,1.1362299125812849e-16,5.48025007257794e-17,5.66713211910806e-17,2.475311205108502e-16
fixed_frobenius_norm,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.3443640777357785,0.32161089818582445,0.002407863440238488,0.9517588103471166,0.1062084199125802,0.1365400322961356,1.1827270692994266e-16,6.191838000451252e-17,3.443942217836542e-17,2.5832822643493244e-16
fixed_frobenius_norm,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.3340751836828847,0.3295670253997359,0.00017552540322970852,0.9530859903325356,0.12440865239905761,0.1585328183467372,1.113209557797e-16,6.307381957571212e-17,6.250348534266543e-17,2.6524823897793593e-16
fixed_delta0,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1907967773596133e-16,5.252308131857779e-17,7.594865238606276e-17,2.5522846844221777e-16
fixed_delta0,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.7721862368358323,0.16438683577174712,0.4644372132247158,0.9907642152038018,0.024807883129071714,0.05369593095492367,1.0775640653110369e-16,4.2674906112987263e-17,4.180481690185976e-17,1.7767424093042496e-16
fixed_delta0,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.5287466082213608,0.16613296077151982,0.26837678656544117,0.8083853620290881,0.048332273786670786,0.07169181368939714,1.1635146363510718e-16,3.0152981905139743e-17,7.78562854830889e-17,1.612240711468433e-16
fixed_delta0,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.3741279393256851,0.29729321640073453,0.03333427470495922,0.9328914930266675,0.09005010574100547,0.11856650993211232,1.2755392366660937e-16,6.918870407809048e-17,6.665154349771346e-17,2.9974094132377806e-16
fixed_delta0,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.34436407773577843,0.3216108981858243,0.002407863440238319,0.9517588103471165,0.13276052489072526,0.17067504037016945,1.632172939066808e-16,6.791794637788732e-17,6.224642527411828e-17,2.9858416038346775e-16
fixed_delta0,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.33407518368288464,0.3295670253997359,0.00017552540322970876,0.9530859903325356,0.1759404034993074,0.22419926178718588,1.3512811645578374e-16,4.978590047550683e-17,8.326079740513754e-17,2.5937451758003643e-16
