normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max,sewing_error_mean,sewing_error_min,sewing_error_max,sewing_min_singular_mean,sewing_min_singular_min,sewing_mean_singular_mean
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,2,time_reversed_valley,196,3.5167577131435492,0.6639890427894771,0.3517316794796681,0.01712881226679504,0.8976716033938396,0.025619993581258597,0.0505470097653599,1.1499260433420714e-16,5.284713156850767e-17,6.569835764231356e-17,2.2403468461391023e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,2,time_reversed_valley,196,3.5167577131435492,0.6338185540179411,0.34728168493782324,0.002098766822665382,0.9930936301863628,0.028017695537941242,0.052303283138299,1.239773295130736e-16,5.768970727228439e-17,4.156554555235099e-17,2.3207934422576037e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,2,time_reversed_valley,196,3.5167577131435492,0.4670553812526293,0.22869847223141568,0.014583524748918842,0.7402112007503038,0.04395755006993762,0.06081194096648206,1.2749998728457848e-16,4.586289976073136e-17,6.663496320437224e-17,2.2514679209213634e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,2,time_reversed_valley,196,3.5167577131435492,0.24983221239495476,0.09945846534180118,0.07312791961761468,0.3645116875799381,0.06999265637044241,0.08186602448677241,1.0297333256655818e-16,4.3249640537671117e-17,3.8104732280068437e-17,1.7402657376242655e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,2,time_reversed_valley,196,3.5167577131435492,0.20895191662963278,0.12824856484671793,9.435898520308234e-05,0.49596227784699776,0.08969141238670013,0.10076791459219205,1.5092596871268489e-16,8.796659162225979e-17,6.108899594397123e-17,3.5332247903234987e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,2,time_reversed_valley,196,3.5167577131435492,0.20247385433558898,0.14998588385700104,0.016026697923424173,0.5749325160937713,0.10356385182573545,0.11473837004308035,1.210603036694457e-16,4.428113529875099e-17,6.502068088400316e-17,2.066709788932752e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,2,time_reversed_valley,196,3.5167577131435492,0.6639890427894771,0.3517316794796681,0.01712881226679504,0.8976716033938396,0.025619993581258597,0.0505470097653599,1.1620059253807988e-16,5.2486055861497515e-17,7.594865238606276e-17,2.5522846844221777e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,2,time_reversed_valley,196,3.5167577131435492,0.6338185540179412,0.34728168493782335,0.0020987668226655136,0.9930936301863628,0.028157435534674327,0.052564149011617455,1.1977953253150144e-16,4.6927251417532906e-17,9.024314302204245e-17,2.503124865979555e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,2,time_reversed_valley,196,3.5167577131435492,0.4670553812526293,0.22869847223141573,0.014583524748919103,0.7402112007503053,0.04531040549543244,0.06268351397590782,1.2176363669267733e-16,5.820737056092103e-17,6.549155508369275e-17,2.57675056675554e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,2,time_reversed_valley,196,3.5167577131435492,0.24983221239495507,0.09945846534180129,0.07312791961761457,0.3645116875799385,0.07825416878504646,0.09152899790004271,1.242602039948248e-16,6.203607899869609e-17,5.551764421933281e-17,2.4102045960370255e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,2,time_reversed_valley,196,3.5167577131435492,0.20895191662963278,0.1282485648467178,9.435898520300965e-05,0.49596227784699753,0.11211426548337514,0.12595989324024,1.4229039553451156e-16,7.192911549547071e-17,6.767645195336333e-17,2.6901081327773867e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,2,time_reversed_valley,196,3.5167577131435492,0.20247385433558918,0.14998588385700162,0.01602669792342418,0.5749325160937734,0.14646140382355266,0.16226455903950707,1.6447250112607028e-16,8.57249138098163e-17,8.668845577718438e-17,3.444026864731878e-16,0.0,0.0,0.0,1.0,1.0,1.0
