normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max,sewing_error_mean,sewing_error_min,sewing_error_max,sewing_min_singular_mean,sewing_min_singular_min,sewing_mean_singular_mean
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.03575935599200281,0.03100398214883615,0.00044832616864788855,0.10232839660615993,0.04955384118371738,0.050547009765359904,1.0434554800966908e-16,2.362070694267217e-17,7.798089737813886e-17,1.5525532828286925e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.08981002478033781,0.062216973728736746,0.012125963107879426,0.17306060394895528,0.049586825468284815,0.052303283138299,1.0529292117045824e-16,3.852068879832633e-17,5.157897410500241e-17,1.9170978579498984e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.3101626513279325,0.15805727933066385,0.05957000430642746,0.5729596886581484,0.050018921685754926,0.06081194096648203,1.09245865433655e-16,5.319811534629646e-17,5.19485602384106e-17,2.1662522198767678e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.5424001608033058,0.2518718796049084,0.16583615338126848,0.9241395317896562,0.05273890903085035,0.08186602448677238,1.2787427020707805e-16,6.047725648321206e-17,7.624894110490301e-17,2.836683988196944e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.6081637847855168,0.22478111744919826,0.2606006604509652,0.9622629078429088,0.05751901507455656,0.10076791459219202,9.848361650815375e-17,2.4008702634302768e-17,6.397932047316072e-17,1.3905136963981877e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.6384356328967848,0.20233755689038282,0.3321640781722159,0.955412175969971,0.061830587423888014,0.11473837004308034,1.106065229848917e-16,4.982357355102398e-17,5.555348673506341e-17,2.0622061144439625e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.03575935599200281,0.03100398214883615,0.00044832616864788855,0.10232839660615993,0.04955384118371738,0.050547009765359904,1.2360249053403568e-16,5.342567336417395e-17,7.85585092868053e-17,2.689300492491384e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.08981002478033778,0.062216973728736524,0.012125963107879464,0.17306060394895473,0.0498341428402492,0.052564149011617455,1.156987631136213e-16,2.5332193085387516e-17,8.028434728463788e-17,1.5373910345698575e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.31016265132793225,0.1580572793306635,0.05957000430642741,0.5729596886581456,0.05155832434746637,0.06268351397590781,1.434302536570748e-16,8.639046864223683e-17,5.801606246868625e-17,3.6804050418068026e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.5424001608033053,0.2518718796049085,0.1658361533812676,0.9241395317896561,0.058963892826079486,0.0915289979000427,1.1086902771677039e-16,6.537062328325423e-17,4.661211986717457e-17,2.3245941853956464e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.6081637847855164,0.224781117449198,0.2606006604509651,0.9622629078429087,0.07189876884319574,0.12595989324023998,1.4291685123566984e-16,4.5330732994442934e-17,7.945715259776433e-17,2.2963965095286354e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,2,sewn_time_reversed_valley,196,3.5167577131435492,0.6384356328967851,0.20233755689038274,0.33216407817221716,0.955412175969971,0.08744165530435774,0.162264559039507,1.65973541896743e-16,5.721138799513934e-17,9.284518949842293e-17,2.6262590529756937e-16,1.389469876523081,1.3799773737038052,1.3939187025365942,0.026661658795845537,0.02177763772101415,0.03467929197015405
