normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1842585515933986e-16,5.0918696152353223e-17,7.176730486484033e-17,2.2403468461391023e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.7627025246324096,0.0860700475982017,0.6533434158930963,0.8479742590774941,0.02431923038360475,0.051549516638719386,1.3034549985581906e-16,7.290833584644017e-17,7.219060655452039e-17,3.265936573146112e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.615710361309768,0.06898214900587102,0.4973856183972036,0.6843604576656788,0.03544211510076466,0.05747786508000514,1.081865035018414e-16,3.939061489064264e-17,6.191772198285271e-17,1.9201437803681042e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.42130168194618406,0.1832633473571701,0.2574543863961155,0.7523019827806786,0.05469273267286099,0.07169538815628086,1.3669837422081147e-16,5.96864779548712e-17,5.831999978089198e-17,2.4954104227563033e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.33280448372711136,0.2554348223883393,0.1469913949581519,0.8048659085590798,0.06970688201631299,0.0848453853777205,1.3036788705496165e-16,8.183725985562257e-17,6.133786953437367e-17,3.5233254459091595e-16
fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.29228626622814863,0.29390328325963294,0.09513740609162182,0.8381892128543147,0.08033884293113812,0.09482159322833067,7.725034767929123e-17,2.4146605145368067e-17,4.242099470529685e-17,1.2931546154752646e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1907967773596133e-16,5.252308131857779e-17,7.594865238606276e-17,2.5522846844221777e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.76270252463241,0.08607004759820111,0.6533434158930992,0.847974259077494,0.024440524055661158,0.05180662305480316,1.2315058659666582e-16,6.405855484450652e-17,5.4431700335012124e-17,2.8612421946446278e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.6157103613097685,0.068982149005871,0.4973856183972045,0.6843604576656799,0.03653289603893782,0.05924682721496551,1.2575481513954157e-16,8.151679570135552e-17,4.413328811156605e-17,3.1657634068428233e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.4213016819461838,0.1832633473571701,0.25745438639611545,0.7523019827806778,0.06114833406587049,0.08015788079533864,1.4400643538973803e-16,8.80038801843766e-17,4.7697009830883764e-17,3.334642112192222e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.3328044837271115,0.25543482238833953,0.14699139495815167,0.8048659085590807,0.0871336025203912,0.10605673172215062,1.456711175377872e-16,7.267538854362485e-17,5.1225770362461205e-17,2.8727355972486063e-16
fixed_delta0,tau0_sigma0,tau0_sigmaz,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.29228626622814863,0.29390328325963283,0.09513740609162175,0.8381892128543142,0.11361628125857738,0.13409798314933005,1.2890197334579987e-16,5.4236349346290306e-17,5.0396628003872115e-17,2.2526037268797956e-16
