normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1842585515933986e-16,5.0918696152353223e-17,7.176730486484033e-17,2.2403468461391023e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.7715524219565449,0.14210674341207816,0.6075556354410713,0.9930936301863628,0.02340586101204919,0.05197453475978023,1.2358350933777468e-16,5.971746082268332e-17,4.156554555235099e-17,2.3207934422576037e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.594863838096181,0.10286581323096708,0.44323978535567843,0.7402112007503038,0.03941600200282452,0.060319065866503346,1.3439288325153792e-16,4.1999266829108486e-17,6.663496320437224e-17,2.2514679209213634e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.35293154043996106,0.19273954639984694,0.07312791961761468,0.7480160924435105,0.06572476275873206,0.08100598164983945,1.1404650568816487e-16,4.397496952929869e-17,6.335897906241975e-17,1.7402657376242655e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.28865845829817266,0.2292891377580645,9.435898520308234e-05,0.7637764175312853,0.08587270394787162,0.09967560993842958,1.5242882213867763e-16,8.718484076501167e-17,6.108899594397123e-17,3.5332247903234987e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.2646784188961655,0.23377830759871165,0.016026697923424173,0.7491827298128851,0.10021843080331137,0.11356806407637718,1.1572487233436844e-16,4.729842855126408e-17,6.502068088400316e-17,2.066709788932752e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1907967773596133e-16,5.252308131857779e-17,7.594865238606276e-17,2.5522846844221777e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.7715524219565457,0.14210674341207774,0.6075556354410716,0.9930936301863628,0.023522599197633665,0.052233760980141555,1.1990714033864616e-16,5.120860674695712e-17,5.559240692427243e-17,2.503124865979555e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.594863838096181,0.10286581323096729,0.4432397853556788,0.7402112007503053,0.04062908489930069,0.062175469951545534,1.155466960617956e-16,6.135388283190042e-17,6.430270117601508e-17,2.57675056675554e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.35293154043996144,0.1927395463998473,0.07312791961761457,0.7480160924435114,0.07348251866678572,0.09056744077657079,1.1125898455546447e-16,5.433995995222754e-17,5.551764421933281e-17,2.4102045960370255e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.2886584582981728,0.22928913775806473,9.435898520300965e-05,0.7637764175312863,0.1073408799348395,0.12459451242303696,1.479674484356329e-16,6.744606454281657e-17,6.767645195336333e-17,2.6901081327773867e-16
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.26467841889616534,0.2337783075987115,0.01602669792342418,0.7491827298128849,0.14173026404179248,0.16060949646926925,1.7387280338361838e-16,8.125962399470703e-17,8.668845577718438e-17,3.444026864731878e-16
