normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1842585515933986e-16,5.0918696152353223e-17,7.176730486484033e-17,2.2403468461391023e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.6858957034481371,0.09278155719833456,0.5258736509323888,0.8104229402462341,0.03015405425873206,0.05519990501574633,1.2510881948239396e-16,6.707412416269029e-17,6.47913993185558e-17,3.043154448693486e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.4625066258163757,0.19821823102311184,0.21425607922810916,0.7878059590119753,0.054176888453994425,0.07454670625895997,1.0127551829911341e-16,6.221432087867752e-17,4.729309263726134e-17,2.5615234879431155e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.32866281965835453,0.3081378608767412,0.07233919046172894,0.8960299322244337,0.09133861548971078,0.1125873407048388,1.2420618958975656e-16,7.63514427503527e-17,5.919068679056539e-17,3.270724393985171e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.2900597771719806,0.34805728815979287,0.03708515044289941,0.9372593292905843,0.11944713816839078,0.14390509734853732,1.085268202867446e-16,4.606838678164918e-17,7.615638572968848e-17,2.34925371062486e-16
fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.27480585553039827,0.36518835960101953,0.02384066977119462,0.9551050973967913,0.1391890846654363,0.16652593705332142,6.896350100464377e-17,2.177684064031535e-17,2.884548355091396e-17,1.0396769600637191e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.8038358107880866,0.10603048617035807,0.6464392682605336,0.8976716033938396,0.020995204297631288,0.050253664180688884,1.1907967773596133e-16,5.252308131857779e-17,7.594865238606276e-17,2.5522846844221777e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.1,3,3,2,time_reversed_valley,196,4.127672627231599,0.6858957034481377,0.09278155719833463,0.5258736509323882,0.8104229402462346,0.030304449477278752,0.055475217970593745,1.2934067461357976e-16,7.253472703013025e-17,6.956895414445719e-17,3.2272384522036173e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.25,3,3,2,time_reversed_valley,196,4.127672627231599,0.462506625816376,0.19821823102311203,0.2142560792281093,0.7878059590119757,0.055844258390781235,0.07684098598689632,1.2567885529887022e-16,4.90732721134769e-17,6.884606961629397e-17,2.0706524427561676e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.5,3,3,2,time_reversed_valley,196,4.127672627231599,0.32866281965835437,0.30813786087674105,0.072339190461729,0.8960299322244331,0.10211967660285426,0.12587647361097432,1.441190904831954e-16,8.522503590610522e-17,6.490740907898788e-17,3.6758131435223555e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,0.75,3,3,2,time_reversed_valley,196,4.127672627231599,0.2900597771719808,0.3480572881597928,0.03708515044289952,0.9372593292905842,0.14930892271048848,0.17988137168567161,1.647842330657375e-16,8.253530304533556e-17,6.617577860764e-17,3.706629566165527e-16
fixed_delta0,tau0_sigma0,tauz_sigmaz,1.0,3,3,2,time_reversed_valley,196,4.127672627231599,0.27480585553039827,0.3651883596010195,0.023840669771194842,0.9551050973967912,0.19684309126815697,0.23550323866769546,1.278645883875281e-16,4.3909307837998995e-17,6.49769155159076e-17,1.9000568060099244e-16
