normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max,sewing_error_mean,sewing_error_min,sewing_error_max,sewing_min_singular_mean,sewing_min_singular_min,sewing_mean_singular_mean
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,6,tr_sewn,196,18.09931085482901,1.6447748512965263e-17,4.6521258035074766e-17,0.0,1.4802973661668736e-16,2.4494897427831788,2.4494897427831788,3.67617057911543e-16,1.2294421785522166e-16,2.147195409022177e-16,5.789278109544569e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,6,tr_sewn,196,18.09931085482901,0.0011334097141027443,0.0003336638184431238,0.0006413437695452493,0.0015304528873090197,2.4377197891870668,2.4391026867221663,4.755700520264048e-16,6.985519411186235e-17,3.8444271667549066e-16,6.273883319487483e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,6,tr_sewn,196,18.09931085482901,0.0070211350160690605,0.002044720604352609,0.0038510488361656876,0.009408170408710946,2.380367349899772,2.388768707947531,3.9393109838681734e-16,9.824194643460318e-17,2.5042222911748255e-16,5.393548483381072e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,6,tr_sewn,196,18.09931085482901,0.027233168188107133,0.007888898344052323,0.014228530939851738,0.035895948883539926,2.207727358560424,2.2383876027983147,3.5946151387795763e-16,6.59471151820525e-17,2.637495715344679e-16,4.99981800119857e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,6,tr_sewn,196,18.09931085482901,0.05830573378830736,0.017001391921483817,0.029205162330066384,0.07618071642724074,1.9947874528038811,2.055451877106108,3.7871599693739476e-16,6.219148457201621e-17,2.707096390349401e-16,4.600497071612377e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,6,tr_sewn,196,18.09931085482901,0.09697653582712594,0.0286094066210754,0.04695004905258575,0.1317648033697108,1.7882472202765207,1.881405390348126,4.360636876005324e-16,5.563307178009369e-17,3.033256032964624e-16,4.940091738441793e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,6,tr_sewn,196,18.09931085482901,1.6447748512965263e-17,4.6521258035074766e-17,0.0,1.4802973661668736e-16,2.4494897427831788,2.4494897427831788,3.8766399749470767e-16,9.682127554191997e-17,2.624482022539072e-16,6.027407527749191e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,6,tr_sewn,196,18.09931085482901,0.0011334097141027987,0.0003336638184431337,0.0006413437695452844,0.001530452887309016,2.449878068047506,2.451267862869956,3.486806973422046e-16,5.828485768955908e-17,2.857713082488424e-16,4.888589777230353e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,6,tr_sewn,196,18.09931085482901,0.007021135016069025,0.002044720604352588,0.0038510488361656096,0.009408170408711091,2.4536265028520874,2.462286424509474,4.1427900704377366e-16,8.408037548945364e-17,2.797123227880223e-16,5.312299321140564e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,6,tr_sewn,196,18.09931085482901,0.027233168188106987,0.007888898344052346,0.014228530939851667,0.03589594888353974,2.4683142247635796,2.502593419924915,4.3514163247591515e-16,7.26202293095086e-17,3.3232797102034375e-16,5.562934018398096e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,6,tr_sewn,196,18.09931085482901,0.058305733788307314,0.017001391921483745,0.0292051623300665,0.07618071642724095,2.493484316004851,2.5693148463826354,3.514407272980559e-16,7.043766462520352e-17,2.2656527840986523e-16,4.615418433589358e-16,0.0,0.0,0.0,1.0,1.0,1.0
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,6,tr_sewn,196,18.09931085482901,0.09697653582712597,0.02860940662107536,0.046950049052585846,0.13176480336971083,2.5289634717910427,2.6607090193521667,3.326803528178384e-16,7.33699821513131e-17,2.16936717265945e-16,4.347212547605093e-16,0.0,0.0,0.0,1.0,1.0,1.0
