candidate,nk,n_keep,curvature_dk_Ainv,Dconv_candidate_eV_A2,Dconv_benchmark_eV_A2,relative_delta_to_benchmark
paramagnetic_tauz,14,2,0.0003,20.945303834998196,53.0,-0.6048055880189019
two_paramagnetic_tauz,14,2,0.0003,41.89060766999639,53.0,-0.20961117603780388
curvature_full,14,2,0.0003,16.0554227002481,53.0,-0.6970674962217339
curvature_half,14,2,0.0003,8.02771135012405,53.0,-0.848533748110867
paramagnetic_plus_curvature_full,14,2,0.0003,37.0007265352463,53.0,-0.30187308424063586
paramagnetic_plus_curvature_half,14,2,0.0003,28.973015185122247,53.0,-0.45333933612976895
two_paramagnetic_plus_curvature_half,14,2,0.0003,49.91831902012044,53.0,-0.058144924148670896
two_paramagnetic_plus_curvature_full,14,2,0.0003,57.94603037024449,53.0,0.09332132774046209
paramagnetic_tauz,14,2,0.0001,20.945303834998196,53.0,-0.6048055880189019
two_paramagnetic_tauz,14,2,0.0001,41.89060766999639,53.0,-0.20961117603780388
curvature_full,14,2,0.0001,16.101172077672828,53.0,-0.6962043004212675
curvature_half,14,2,0.0001,8.050586038836414,53.0,-0.8481021502106337
paramagnetic_plus_curvature_full,14,2,0.0001,37.04647591267103,53.0,-0.3010098884401693
paramagnetic_plus_curvature_half,14,2,0.0001,28.99588987383461,53.0,-0.4529077382295357
two_paramagnetic_plus_curvature_half,14,2,0.0001,49.941193708832806,53.0,-0.05771332624843761
two_paramagnetic_plus_curvature_full,14,2,0.0001,57.99177974766922,53.0,0.09418452354092866
paramagnetic_tauz,14,2,3e-05,20.945303834998196,53.0,-0.6048055880189019
two_paramagnetic_tauz,14,2,3e-05,41.89060766999639,53.0,-0.20961117603780388
curvature_full,14,2,3e-05,16.11502794200615,53.0,-0.6959428690187519
curvature_half,14,2,3e-05,8.057513971003075,53.0,-0.847971434509376
paramagnetic_plus_curvature_full,14,2,3e-05,37.06033177700435,53.0,-0.30074845703765374
paramagnetic_plus_curvature_half,14,2,3e-05,29.00281780600127,53.0,-0.4527770225282779
two_paramagnetic_plus_curvature_half,14,2,3e-05,49.94812164099947,53.0,-0.057582610547179836
two_paramagnetic_plus_curvature_full,14,2,3e-05,58.00563561200254,53.0,0.09444595494344421
paramagnetic_tauz,14,6,0.0003,25.72397230906164,54.0,-0.5236301424247845
two_paramagnetic_tauz,14,6,0.0003,51.44794461812328,54.0,-0.0472602848495689
curvature_full,14,6,0.0003,20.21230043345745,54.0,-0.6256981401211583
curvature_half,14,6,0.0003,10.106150216728725,54.0,-0.8128490700605792
paramagnetic_plus_curvature_full,14,6,0.0003,45.936272742519094,54.0,-0.14932828254594266
paramagnetic_plus_curvature_half,14,6,0.0003,35.830122525790365,54.0,-0.3364792124853636
two_paramagnetic_plus_curvature_half,14,6,0.0003,61.55409483485201,54.0,0.13989064508985205
two_paramagnetic_plus_curvature_full,14,6,0.0003,71.66024505158073,54.0,0.3270415750292728
paramagnetic_tauz,14,6,0.0001,25.72397230906164,54.0,-0.5236301424247845
two_paramagnetic_tauz,14,6,0.0001,51.44794461812328,54.0,-0.0472602848495689
curvature_full,14,6,0.0001,18.952513063734376,54.0,-0.6490275358567708
curvature_half,14,6,0.0001,9.476256531867188,54.0,-0.8245137679283854
paramagnetic_plus_curvature_full,14,6,0.0001,44.676485372796016,54.0,-0.17265767828155532
paramagnetic_plus_curvature_half,14,6,0.0001,35.20022884092883,54.0,-0.3481439103531698
two_paramagnetic_plus_curvature_half,14,6,0.0001,60.924201149990466,54.0,0.12822594722204572
two_paramagnetic_plus_curvature_full,14,6,0.0001,70.40045768185766,54.0,0.30371217929366034
paramagnetic_tauz,14,6,3e-05,25.72397230906164,54.0,-0.5236301424247845
two_paramagnetic_tauz,14,6,3e-05,51.44794461812328,54.0,-0.0472602848495689
curvature_full,14,6,3e-05,18.77539539594343,54.0,-0.6523074926677143
curvature_half,14,6,3e-05,9.387697697971715,54.0,-0.8261537463338571
paramagnetic_plus_curvature_full,14,6,3e-05,44.49936770500507,54.0,-0.1759376350924987
paramagnetic_plus_curvature_half,14,6,3e-05,35.111670007033354,54.0,-0.34978388875864164
two_paramagnetic_plus_curvature_half,14,6,3e-05,60.835642316095,54.0,0.12658596881657402
two_paramagnetic_plus_curvature_full,14,6,3e-05,70.22334001406671,54.0,0.3004322224827167
