eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,-6.0420300659872555e-18,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12
0.1,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.001266150192916506,1.017567880386168,0.008707454434100882,0.0,0.0,1.5751834264901335e-15,85170.37613226844,26811.944191788618,58398.77368062641,-40.34174014657954,83699.94550137156,22516.058555967735,61142.26437704662,41.62256835721661
0.2,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.005038442943174682,1.016181976590781,0.008026049621841856,0.0,0.0,1.652729762366527e-15,85487.63944776893,26847.807432000107,58721.28102762802,-81.44901185920668,84126.30947714105,22619.578925711332,61422.102285299196,84.62826613054027
0.3,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.011241405764258588,1.0141841353540875,0.0070421244538269746,0.0,0.0,1.5816609543369622e-15,85963.94511092863,26873.27898899098,59214.51563255901,-123.84951062134533,84761.67405331734,22733.308147826097,61899.4967345112,128.8691709800645
0.4,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.01975384884997368,1.0114836402906942,0.005709039865238226,0.0,0.0,1.558357791414168e-15,86556.69402497183,26878.768342640542,59845.94094897183,-168.01526664053003,85573.993070314,22859.9129820435,62539.88199128733,174.19809698318596
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.030413556047206164,1.0079964438031896,0.0039822997833821846,0.0,0.0,1.3631985275231243e-15,87217.33029779911,26853.76298595038,60577.91368175509,-214.34636990634914,86525.43452308867,23001.32973314486,63303.636130783554,220.46865916025854
0.6,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.043023505272774,1.0036498073580122,0.0018215794719262154,0.0,0.0,1.5959132936780834e-15,87897.43603293716,26787.478987540646,61373.133339065986,-263.17629366947335,87577.79395615749,23158.73092614607,64151.540436486284,267.52259352510566
0.7,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.05735929636300353,0.998393038514469,-0.0008041268431987134,0.0,0.0,1.124187173155818e-15,88553.95570704342,26669.91055282901,62198.8258573693,-314.7807031548715,88696.48754643241,23332.631256740537,65048.69267958496,315.1636101069353
0.8,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.0731773786056209,0.992216169673066,-0.003907121348287916,0.0,0.0,1.834211762457977e-15,89153.46258415398,26493.58844144217,63029.244600294216,-369.37045758240805,89852.86201647967,23523.133827032892,65966.60233734707,363.1258520997049
0.9,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.09022360874540176,0.9851778004575563,-0.007466434260461407,0.0,0.0,1.2901353076793278e-15,89675.87752504634,26256.37428696519,63846.560012127055,-427.0567740458998,91025.06926505778,23730.283936244035,66883.73159440729,411.05373440647304
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.1082416470827977,0.9774374087336946,-0.011410015389945497,0.0,0.0,1.286405566988752e-15,90117.66783892804,25965.03368180227,64640.42850332712,-487.7943462013401,92197.89117308159,23954.420502643832,67784.95817205521,458.51249838255507
