candidate,theta_deg,n_shell,nk,mesh_variant,band_selector,bandwidth_meV,D_total_eV_A2,D_conv_eV_A2,D_geom_eV_A2,geom_fraction,target_D_total_eV_A2,target_D_conv_eV_A2,target_D_geom_eV_A2,target_geom_fraction,D_total_relative_delta,D_conv_relative_delta,D_geom_relative_delta,geom_fraction_delta
double_conv_full_curv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,66.18343251073965,53.82805259304187,12.355379917697777,0.18668387916708395,67.5,53.0,14.5,0.215,-0.019504703544597768,0.015623633830978534,-0.14790483326222226,-0.028316120832916042
double_conv_half_curv_all_tauz,1.05,3,14,half_shift_centered,central_pair,5.992364739916093,62.44609219326218,49.941193708832806,12.504898484429377,0.2002510973101153,67.5,53.0,14.5,0.215,-0.07487270824796766,-0.05771332624843761,-0.13759320797038777,-0.014748902689884685
double_conv_full_curv_all_tauz,1.05,3,14,half_shift_centered,central_pair,5.992364739916093,70.4966782320986,57.99177974766922,12.504898484429377,0.17738280438206006,67.5,53.0,14.5,0.215,0.04439523306812743,0.09418452354092866,-0.13759320797038777,-0.03761719561793994
double_conv_full_curv_all_tauz,1.05,3,14,positive_half_shift,central_pair,6.187695623887809,69.88101484968809,58.21122357282009,11.669791276868,0.16699516030168368,67.5,53.0,14.5,0.215,0.03527429406945304,0.09832497307207722,-0.19518680849186199,-0.048004839698316315
double_conv_all_tauz,1.05,3,14,half_shift_centered,closest_abs,6.981732757973662,59.344001508321696,46.858409315137166,12.485592193184534,0.21039350019957287,67.5,53.0,14.5,0.215,-0.12082960728412306,-0.11587906952571381,-0.13892467633210115,-0.004606499800427127
double_conv_half_curv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,58.75666559041679,46.40128567271901,12.355379917697777,0.21028048126190707,67.5,53.0,14.5,0.215,-0.12953088014197356,-0.12450404391096204,-0.14790483326222226,-0.004719518738092926
double_conv_all_tauz,1.05,3,14,half_shift_centered,valence_conduction,11.439295792985588,63.559339006669646,45.45525068957909,18.10408831709056,0.2848375801263571,67.5,53.0,14.5,0.215,-0.05838016286415337,-0.14235376057397942,0.24855781497176288,0.06983758012635713
double_conv_half_curv_all_tauz,1.05,3,14,positive_half_shift,central_pair,6.187695623887809,58.18408263457552,46.51429135770751,11.669791276868,0.2005667314574674,67.5,53.0,14.5,0.215,-0.1380135905988812,-0.12237186117532994,-0.19518680849186199,-0.014433268542532601
double_conv_all_tauz,1.05,3,14,gamma_centered,closest_abs,7.294602387142854,55.58969296166773,42.897127275659656,12.692565686008074,0.2283258821875545,67.5,53.0,14.5,0.215,-0.17644899316047813,-0.19062024008189327,-0.12465064234427081,0.01332588218755451
double_conv_all_tauz,1.05,3,14,half_shift_centered,central_pair,5.992364739916093,54.39550615442577,41.89060766999639,12.504898484429377,0.22988844793407523,67.5,53.0,14.5,0.215,-0.19414064956406274,-0.20961117603780388,-0.13759320797038777,0.014888447934075233
