candidate,theta_deg,n_shell,nk,mesh_variant,band_selector,bandwidth_meV,D_total_eV_A2,D_conv_eV_A2,D_geom_eV_A2,geom_fraction,target_D_total_eV_A2,target_D_conv_eV_A2,target_D_geom_eV_A2,target_geom_fraction,D_total_relative_delta,D_conv_relative_delta,D_geom_relative_delta,geom_fraction_delta
double_conv_full_curv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,66.18343251073965,53.82805259304187,12.355379917697777,0.18668387916708395,67.5,53.0,14.5,0.215,-0.019504703544597768,0.015623633830978534,-0.14790483326222226,-0.028316120832916042
double_conv_half_curv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,58.75666559041679,46.40128567271901,12.355379917697777,0.21028048126190707,67.5,53.0,14.5,0.215,-0.12953088014197356,-0.12450404391096204,-0.14790483326222226,-0.004719518738092926
double_conv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,51.32989867009394,38.974518752396165,12.355379917697777,0.24070532453430157,67.5,53.0,14.5,0.215,-0.23955705673934902,-0.2646317216529026,-0.14790483326222226,0.025705324534301577
double_conv_full_curv_all_tauz,1.05,2,14,gamma_centered,central_pair,11.905412133460871,45.254316347115505,34.48427562196021,10.770040725155294,0.237989248197797,67.5,53.0,14.5,0.215,-0.3295656837464369,-0.34935329015169414,-0.2572385706789453,0.02298924819779699
double_conv_half_curv_all_tauz,1.05,2,14,gamma_centered,central_pair,11.905412133460871,42.68059140840583,31.910550683250534,10.770040725155294,0.2523404753720016,67.5,53.0,14.5,0.215,-0.3676949420976914,-0.3979141380518767,-0.2572385706789453,0.03734047537200161
double_conv_all_tauz,1.05,2,14,gamma_centered,central_pair,11.905412133460871,40.10686646969615,29.336825744540857,10.770040725155294,0.26853358721736326,67.5,53.0,14.5,0.215,-0.40582420044894596,-0.44647498595205926,-0.2572385706789453,0.05353358721736326
all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,31.842639293895857,19.487259376198082,12.355379917697777,0.38801368830209587,67.5,53.0,14.5,0.215,-0.5282571956459873,-0.6323158608264513,-0.14790483326222226,0.17301368830209587
all_tauz,1.05,2,14,gamma_centered,central_pair,11.905412133460871,25.43845359742572,14.668412872270428,10.770040725155294,0.42337639290484164,67.5,53.0,14.5,0.215,-0.6231340207788783,-0.7232374929760297,-0.2572385706789453,0.20837639290484164
current_tauz_tau0,1.05,2,14,gamma_centered,central_pair,11.905412133460871,24.587686469474583,14.668412872270428,9.919273597204155,0.4034244380624771,67.5,53.0,14.5,0.215,-0.6357379782300061,-0.7232374929760297,-0.3159121657100583,0.18842443806247708
current_tauz_tau0,1.05,3,14,gamma_centered,central_pair,6.209030251584688,26.910401265292847,19.487259376198082,7.423141889094766,0.2758465701018221,67.5,53.0,14.5,0.215,-0.6013273886623283,-0.6323158608264513,-0.4880591800624299,0.06084657010182212
