eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,-6.0420300659872555e-18,47217.81156928494,0.5223233110065059,1.2069903849518364,0.09378853046355871,0.0,0.0,1.2616825034108476e-15,51646.300728073395,26683.85844152684,24962.44228654655,3.1379887350711365e-12,42789.32241049648,18425.83734234261,24363.48506815387,2.447747220332753e-13
0.25,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.00784264030618254,47137.502406362626,0.5252391175201272,1.1830437930670346,0.08384797118974413,0.0,0.0,1.3111899131903708e-15,51089.886350087814,26206.566251169606,24948.898333684065,-65.57823476586174,43185.11846263744,18609.70406497265,24568.02199835749,7.392399307304512
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.030413556047206164,47236.26225898549,0.5351394810305318,1.1399065949511809,0.06537976717361006,0.0,0.0,1.3661018950767419e-15,50324.55808762954,25162.321678527707,25307.680797773108,-145.44438867127124,44147.96643034143,18880.64923647928,25248.296944418067,19.02024944408528
0.75,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.06509878715881894,47340.41373695065,0.5492931372666536,1.0829727280228734,0.03983380430603612,0.0,0.0,1.779186775723908e-15,49226.162513515126,23601.10604965486,25845.661342948602,-220.60487908833213,45454.66496038617,19257.685979452253,26161.86741919342,35.111561740510304
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.1082416470827977,47481.12755195488,0.5637000745015011,1.0239401341035015,0.011828479360683153,0.0,0.0,1.1742150134358084e-15,48042.757089225146,21881.2688020847,26423.287049565843,-261.79876242539115,46919.49801468462,19757.744435049146,27106.94322733864,54.81035229683878
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,-6.0420300659872555e-18,47217.81156928494,0.5223233110065059,1.2069903849518364,0.09378853046355871,0.0,0.0,1.2616825034108476e-15,51646.300728073395,26683.85844152684,24962.44228654655,3.1379887350711365e-12,42789.32241049648,18425.83734234261,24363.48506815387,2.447747220332753e-13
0.25,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.007842640306182558,46904.876599989264,0.5220839471740305,1.1891701433625665,0.08641180491891831,0.0,0.0,1.3578929458515214e-15,50958.01164649347,26320.40416895967,24702.83292572561,-65.22544819180555,42851.74155348505,18571.195725306403,24273.733308340816,6.812519837825265
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.030413556047206188,46422.360126588464,0.5235122919176135,1.1634276055654946,0.0755410558435472,0.0,0.0,1.1541042540965622e-15,49929.15422530034,25654.16469946296,24422.163599969575,-147.17407413219652,42915.566027876586,18716.992319248482,24183.18869222075,15.385016407360242
0.75,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.06509878715881898,45725.819357268614,0.5271857197185665,1.1280354533137191,0.06016603394193729,0.0,0.0,1.471703645707136e-15,48476.96055674093,24597.053469869,24124.13027285651,-244.22318598459384,42974.6781577963,18860.974681222644,24087.86770230913,25.83577426452862
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-5.0,-1.4829931972789114,0.10824164708279772,44807.448091343744,0.5334494312597411,1.0828431210675895,0.039774057023136314,0.0,0.0,1.4063826505702706e-15,46589.62208679007,23113.55995351857,23821.017431442993,-344.9552981714882,43025.27409589742,19002.80412581546,23983.997969612392,38.47200046957387
