eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-6.0,-6.0420300659872555e-18,1.4007200475625248,0.16691660819402074,0.0,0.0,1.1292051912627698e-15,44161.73277428053,29964.93917660611,14196.793597674417,3.854331819694584e-12,31527.87942967544,18172.6861166493,13355.193313026139,1.069294312958159e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-6.0,0.030413556047206164,1.4817606597303303,0.19412051594962376,0.0,0.0,1.2745851606348553e-15,47040.37535050776,32715.84621270776,14384.644339293303,-60.115201493302315,31746.27092547373,18101.275954508077,13672.930524693244,-27.93555372758724
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-6.0,0.1082416470827977,1.5957285663799232,0.22950341345233302,0.0,0.0,1.4071616094894633e-15,51882.98210754181,36723.4863295937,15209.171222319394,-49.67544437129307,32513.66379010421,18100.289017284023,14468.728007682532,-55.35323486234947
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-6.0,-6.0420300659872555e-18,1.4007200475625248,0.16691660819402074,0.0,0.0,1.1292051912627698e-15,44161.73277428053,29964.93917660611,14196.793597674417,3.854331819694584e-12,31527.87942967544,18172.6861166493,13355.193313026139,1.069294312958159e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-6.0,0.030413556047206188,1.470049374142693,0.19029958634160424,0.0,0.0,1.2091005911410293e-15,45617.12021236777,31753.989816973488,13932.69380025634,-69.5634048620613,31031.012301182658,17808.714221491366,13249.487769633362,-27.189689942070586
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-6.0,0.10824164708279772,1.569826638718482,0.22173738497887255,0.0,0.0,1.9878436366508387e-15,47912.16487182804,34176.80014349884,13811.122449315246,-75.75772098604263,30520.672595377047,17342.393534329272,13228.56082515921,-50.281764111436495
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-6.0420300659872555e-18,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,0.030413556047206164,1.2561391292643502,0.1135298466047475,0.0,0.0,1.393939512836144e-15,70525.34663759153,32147.493936255356,38154.531002602766,223.321698733424,56144.53446641236,19863.437594711522,36291.041442977905,-9.944571277055822
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,0.1082416470827977,1.2700252945322879,0.11895254875912005,0.0,0.0,1.5747256221266344e-15,74433.61738542345,31858.289095906446,41898.4223382471,676.9059512699183,58607.98025509808,19577.77234004187,39026.989212554814,3.2187025014060513
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-6.0420300659872555e-18,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,0.030413556047206188,1.2540797473037961,0.11271994595919338,0.0,0.0,1.3508263624802366e-15,68714.89029996847,31983.998573078836,36512.65348254196,218.23824434767678,54793.07870787466,20007.071192997755,34800.09313608848,-14.085621211588771
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,0.10824164708279772,1.2861612070553696,0.12517105363009468,0.0,0.0,1.2883289791260008e-15,70719.93231668149,33078.83199786354,36928.09129570452,713.0090231134275,54985.27861728376,20168.606689017703,34828.14464467861,-11.472716412554895
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-6.0420300659872555e-18,1.1259147733346038,0.059228514197255465,0.0,0.0,2.0969760925556426e-15,83585.26074740074,32945.72014497766,50639.54060242307,2.6356785235052207e-12,74237.64455976327,23040.088732312743,51197.55582745053,7.424446545085129e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,0.030413556047206164,1.144409611417425,0.06734236344052388,0.0,0.0,1.4607387871359943e-15,86067.2691606993,33183.69980384576,52795.4923948237,88.07696202983908,75206.69898437803,22372.561208254087,52931.157898364894,-97.02012224094305
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,0.1082416470827977,1.1325135297536086,0.062139596257998524,0.0,0.0,1.3038447605273202e-15,88315.88006664847,31236.140431711905,56922.27920491348,157.46043002308312,77982.18541889086,21563.56968337858,56596.60627835167,-177.9905428394016
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-6.0420300659872555e-18,1.1259147733346038,0.059228514197255465,0.0,0.0,2.0969760925556426e-15,83585.26074740074,32945.72014497766,50639.54060242307,2.6356785235052207e-12,74237.64455976327,23040.088732312743,51197.55582745053,7.424446545085129e-13
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,0.030413556047206188,1.1440711153063208,0.06719511973171538,0.0,0.0,1.3250014074250542e-15,83709.9454453886,32933.71286657829,50689.7443495707,86.48822923959634,73168.48080984509,22384.97006101709,50881.48414202167,-97.97339319367693
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,0.10824164708279772,1.1573838573660147,0.07295125382006294,0.0,0.0,1.4698664904463324e-15,83738.4387811358,32626.464193170345,50977.596446127805,134.3781418376534,72351.48325958905,21704.896520998373,50844.22363405733,-197.63689546665893
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,-6.0420300659872555e-18,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12
