eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,1.8275276125516916e-18,60859.24969255264,0.6029396962811328,1.141496609297655,0.06607370223390714,0.0,0.0,2.130877602734928e-15,64880.44563491737,27895.435026882416,36985.01060803495,-4.140446558997127e-13,56838.053750187915,20434.149307172236,36403.90444301567,1.8189894035458565e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.030175648364878006,62039.327881241974,0.6136164798218386,1.128862556113639,0.060531176962821356,0.0,0.0,1.410261997946259e-15,65794.64141587593,27381.390035120425,38409.91577765577,3.335603099747672,58284.01434660802,20532.79564232169,37726.792192345325,24.42651194099852
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.10729542571944178,64537.80979557417,0.6341356534171585,1.1158607660785111,0.05475821846881021,0.0,0.0,1.1796023753412668e-15,68071.78528385874,26550.404775891773,41494.56051042691,26.81999754005036,61003.8343072896,20722.99182073586,40356.89185923052,-76.04937267678257
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,1.8275276125516916e-18,60859.24969255264,0.6029396962811328,1.141496609297655,0.06607370223390714,0.0,0.0,2.130877602734928e-15,64880.44563491737,27895.435026882416,36985.01060803495,-4.140446558997127e-13,56838.053750187915,20434.149307172236,36403.90444301567,1.8189894035458565e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.030175648364878,60562.977200329304,0.6035675170587022,1.1403684620544323,0.06558144756052875,0.0,0.0,1.5324034941120325e-15,64534.7849137022,27654.858164782687,36877.683983297895,2.242765621613115,56591.16948695641,20324.944765396107,36230.0075656732,36.217155887115176
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,-4.0,-1.3251028806584362,0.10729542571944178,60442.94541088508,0.6026583840085215,1.1522823749695918,0.07075390141209671,0.0,0.0,1.6607264337449774e-15,64719.51961154358,27834.95502785284,36847.2934036075,37.271180083225275,56166.37121022657,20154.9857622508,36005.60220847106,5.783239504705408
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,1.8275276125516916e-18,83311.42938123674,0.7190800160357849,1.0829535954174205,0.039824984867604205,0.0,0.0,1.6709632427389906e-15,86629.30579564297,29417.85750947078,57211.4482861722,-2.1333826337883504e-12,79993.55296683051,17389.833302154955,62603.71966467554,3.121475643121902e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,0.030175648364878006,86207.29316351554,0.7184720093880518,1.096684511205139,0.04611304690259123,0.0,0.0,1.3871016085136822e-15,90182.57411651016,30691.019559876902,59363.28917198394,128.2653846493302,82232.01221052092,17766.415334379202,64511.76511420779,-46.168238066066095
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,0.10729542571944178,90500.87185736667,0.7304582295457911,1.0919572627184828,0.043957524542822216,0.0,0.0,1.4086943093014596e-15,94479.06615318367,30597.952058454044,63565.606692616486,315.5074021131431,86522.67756154966,18052.747111374443,68648.60656594865,-178.6761157734295
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,1.8275276125516916e-18,83311.42938123674,0.7190800160357849,1.0829535954174205,0.039824984867604205,0.0,0.0,1.6709632427389906e-15,86629.30579564297,29417.85750947078,57211.4482861722,-2.1333826337883504e-12,79993.55296683051,17389.833302154955,62603.71966467554,3.121475643121902e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,0.030175648364878,83733.90806992924,0.7141828776566947,1.099767044381446,0.04751338709139312,0.0,0.0,1.8446877257699827e-15,87712.38965673091,30249.12522869672,57330.92756222517,132.33686580902557,79755.42648312757,17518.50351959771,62271.719283421226,-34.79631989137393
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,0.0,-0.3539094650205761,0.10729542571944178,84172.29406190346,0.7124795797682557,1.1112096460106997,0.05267579476099836,0.0,0.0,1.4695743142849551e-15,88606.13654847069,30498.579335329818,57736.79904030576,370.75817283511793,79738.45157533624,17664.565294995802,62205.2823624043,-131.3960820638745
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,1.8275276125516916e-18,82650.97528292186,0.7683654334590646,1.0552483697916344,0.026881602537038207,0.0,0.0,1.2752540150653228e-15,84872.76594977595,22543.696743564815,62329.06920621114,1.796532744242821e-13,80429.1846160678,15745.948924125578,64683.23569194223,-9.43179690727481e-13
