nk,n_keep,n_shell,m0,m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,4,2,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,47755.174861686784,47318.00958571155,-0.009154301648803376,-0.9154301648803376,1.2173779401558823e-33,0.04919572904804715,0.7973846370409476,0.7931933550546123,0.05620917790958647,0.050049372269351515,0.0,0.0,1.4443902729466976e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,51189.006672951364,51368.652003089104,0.003509451380557138,0.3509451380557138,1.2173779401558823e-33,0.04919572904804715,0.774081298355504,0.7687556039848219,0.07958124205211323,0.0787308114488171,0.0,0.0,1.5783748538876073e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,57795.204176524676,57873.11779419398,0.001348098320257396,0.1348098320257396,1.2173779401558823e-33,0.04919572904804715,0.7638780921785823,0.7645346040038444,0.06757945462800448,0.07027992901982806,0.0,0.0,1.6867488984253205e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,60127.44904107868,60216.20728747627,0.0014761685022917082,0.14761685022917082,1.2173779401558823e-33,0.04919572904804715,0.7625552374959571,0.7606474923775894,0.07060008037827717,0.0692239341965218,0.0,0.0,1.0837669913635508e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,55946.757811707284,55591.195850792414,-0.006355363113471957,-0.6355363113471957,1.2173779401558823e-33,0.04919572904804715,0.7753808736030731,0.7809307825284696,0.08338473888093594,0.08134542463815667,0.0,0.0,1.2851777169784923e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,47755.174861686784,48838.88643642052,0.022693071020522648,2.269307102052265,1.2173779401558823e-33,0.04919572904804712,0.7973846370409476,0.8081762896215552,0.05620917790958647,0.0627425310066478,0.0,0.0,1.5106453296517876e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,51189.006672951364,51930.23144270161,0.014480155367849967,1.4480155367849967,1.2173779401558823e-33,0.04919572904804712,0.774081298355504,0.7894492017339877,0.07958124205211323,0.07315754528813907,0.0,0.0,1.65860281516376e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,57795.204176524676,60737.11069749885,0.05090226019426569,5.090226019426569,1.2173779401558823e-33,0.04919572904804712,0.7638780921785823,0.7682513349935312,0.06757945462800448,0.0745951832259684,0.0,0.0,1.6867488984253205e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,60127.44904107868,63002.113279505444,0.04780951602425065,4.780951602425065,1.2173779401558823e-33,0.04919572904804712,0.7625552374959571,0.7668901167647845,0.07060008037827717,0.07118515445582968,0.0,0.0,2.477277699588741e-15
9,4,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,55946.757811707284,57418.60080229976,0.026307922892441216,2.6307922892441216,1.2173779401558823e-33,0.04919572904804712,0.7753808736030731,0.7820995265119927,0.08338473888093594,0.08740793532070722,0.0,0.0,1.2467161725236293e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,17597.945661318103,17189.665851180915,-0.023200424526518715,-2.3200424526518715,-9.594519965896419e-18,0.06875255130905576,0.21225480790586532,0.21742973576924124,0.031131895549958856,0.019560238647663916,0.0,0.0,1.361665884739989e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,44655.740025810206,44337.969532681964,-0.007116005533545633,-0.7116005533545633,-9.594519965896419e-18,0.06875255130905576,0.4570463189063798,0.48116128064286895,0.10510575685620502,0.11593075316248411,0.0,0.0,1.7025254957242734e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,58196.9390725524,58743.90415246805,0.009398519726849575,0.9398519726849575,-9.594519965896419e-18,0.06875255130905576,0.6036777260441749,0.5918497795989169,0.0017550141289831955,0.02631149486607105,0.0,0.0,1.8148142456257872e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,59964.619222503665,59582.767036086356,-0.006367958162135867,-0.6367958162135867,-9.594519965896419e-18,0.06875255130905576,0.6845425251086348,0.6876731231155218,-0.02349409409856501,-0.0247955693108836,0.0,0.0,1.0471842120043642e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,52039.75343133566,52100.58122443401,0.0011688716622881845,0.11688716622881845,-9.594519965896419e-18,0.06875255130905576,0.5299528236018854,0.5467475427262753,-0.015532164597329695,-0.026046216849532088,0.0,0.0,1.7171874735780503e-15
