mode,theta_deg,nk,n_shell,n_keep,delta0_meV,mu_meV,curvature_dk_Ainv,D_total_eV_A2,D_conv_eV_A2,D_geom_eV_A2,geom_fraction,target_D_total_eV_A2,target_D_conv_eV_A2,target_D_geom_eV_A2,target_geom_fraction,D_total_relative_delta,D_conv_relative_delta,D_geom_relative_delta,geom_fraction_delta
all_tauz,1.05,14,3,2,1.0,0.0,0.0001,33.450202319427575,20.945303834998196,12.504898484429377,0.3738362585976541,67.5,53.0,14.5,0.215,-0.5044414471195915,-0.6048055880189019,-0.13759320797038777,0.15883625859765413
current_tauz_tau0,1.05,14,3,2,1.0,0.0,0.0001,29.342464480315314,20.945303834998196,8.397160645317118,0.28617775616463426,67.5,53.0,14.5,0.215,-0.5652968225138473,-0.6048055880189019,-0.4208854727367505,0.07117775616463426
double_conv_all_tauz,1.05,14,3,2,1.0,0.0,0.0001,54.39550615442577,41.89060766999639,12.504898484429377,0.22988844793407523,67.5,53.0,14.5,0.215,-0.19414064956406274,-0.20961117603780388,-0.13759320797038777,0.014888447934075233
double_conv_full_curv_all_tauz,1.05,14,3,2,1.0,0.0,0.0001,70.4966782320986,57.99177974766922,12.504898484429377,0.17738280438206006,67.5,53.0,14.5,0.215,0.04439523306812743,0.09418452354092866,-0.13759320797038777,-0.03761719561793994
double_conv_half_curv_all_tauz,1.05,14,3,2,1.0,0.0,0.0001,62.44609219326218,49.941193708832806,12.504898484429377,0.2002510973101153,67.5,53.0,14.5,0.215,-0.07487270824796766,-0.05771332624843761,-0.13759320797038777,-0.014748902689884685
double_conv_tau0_geom,1.05,14,3,2,1.0,0.0,0.0001,50.287768315313514,41.89060766999639,8.397160645317118,0.16698216935508817,67.5,53.0,14.5,0.215,-0.2549960249583183,-0.20961117603780388,-0.4208854727367505,-0.04801783064491183
all_tauz,1.05,14,3,4,1.0,0.0,0.0001,73.09026840103837,25.39042049184853,47.69984790918985,0.6526155800587017,,53.9,,,,-0.5289346847523464,,
current_tauz_tau0,1.05,14,3,4,1.0,0.0,0.0001,60.77940371200174,25.39042049184853,35.38898322015321,0.5822528859914623,,53.9,,,,-0.5289346847523464,,
double_conv_all_tauz,1.05,14,3,4,1.0,0.0,0.0001,98.48068889288692,50.78084098369706,47.69984790918985,0.4843573744805021,,53.9,,,,-0.05786936950469268,,
double_conv_full_curv_all_tauz,1.05,14,3,4,1.0,0.0,0.0001,121.44276827317827,73.74292036398842,47.69984790918985,0.39277635537664857,,53.9,,,,0.36814323495340306,,
double_conv_half_curv_all_tauz,1.05,14,3,4,1.0,0.0,0.0001,109.9617285830326,62.26188067384274,47.69984790918985,0.4337859046401901,,53.9,,,,0.15513693272435503,,
double_conv_tau0_geom,1.05,14,3,4,1.0,0.0,0.0001,86.16982420385027,50.78084098369706,35.38898322015321,0.41068881765888465,,53.9,,,,-0.05786936950469268,,
all_tauz,1.05,14,3,6,1.0,0.0,0.0001,100.93913758775257,25.72397230906164,75.21516527869093,0.7451536349149188,129.3,54.0,75.3,0.583,-0.2193415499787118,-0.5236301424247845,-0.0011266231249543734,0.16215363491491885
current_tauz_tau0,1.05,14,3,6,1.0,0.0,0.0001,85.6040299535424,25.72397230906164,59.88005764448075,0.6995004519878079,129.3,54.0,75.3,0.583,-0.3379425370955732,-0.5236301424247845,-0.20478011096307103,0.1165004519878079
double_conv_all_tauz,1.05,14,3,6,1.0,0.0,0.0001,126.6631098968142,51.44794461812328,75.21516527869093,0.5938206107521344,129.3,54.0,75.3,0.583,-0.020393581617833,-0.0472602848495689,-0.0011266231249543734,0.010820610752134474
double_conv_full_curv_all_tauz,1.05,14,3,6,1.0,0.0,0.0001,145.6156229605486,70.40045768185766,75.21516527869093,0.5165322494212647,129.3,54.0,75.3,0.583,0.12618424563455988,0.30371217929366034,-0.0011266231249543734,-0.06646775057873522
double_conv_half_curv_all_tauz,1.05,14,3,6,1.0,0.0,0.0001,136.1393664286814,60.924201149990466,75.21516527869093,0.5524865235662273,129.3,54.0,75.3,0.583,0.05289533200836338,0.12822594722204572,-0.0011266231249543734,-0.03051347643377267
double_conv_tau0_geom,1.05,14,3,6,1.0,0.0,0.0001,111.32800226260403,51.44794461812328,59.88005764448075,0.5378705844665547,129.3,54.0,75.3,0.583,-0.1389945687346944,-0.0472602848495689,-0.20478011096307103,-0.045129415533445294
